,access,bridge,from,geometry,highway,key,lanes,length,maxspeed,name,oneway,osmid,service,time,to
4417,,,42498634,"LINESTRING (588194.5008911986 4505878.020921148, 588269.6410345782 4505890.349422881)",primary,0,,75.9810913264,,Flushing Avenue,False,227074776,,1.01308121769,42490730
4418,,,42490730,"LINESTRING (588194.5008911986 4505878.020921148, 588269.6410345782 4505890.349422881)",primary,1,,75.9810913264,,Flushing Avenue,False,227074776,,1.01308121769,42498634
4419,,,2597739083,"LINESTRING (589344.5209161934 4504563.823544674, 589417.6585255801 4504575.70623273)",residential,0,,73.9370895166,,Gates Avenue,False,432552981,,0.985827860221,42499192
4420,,,42499192,"LINESTRING (589344.5209161934 4504563.823544674, 589417.6585255801 4504575.70623273)",residential,1,,73.9370895166,,Gates Avenue,False,432552981,,0.985827860221,2597739083
4421,,,2597739083,"LINESTRING (589344.5209161934 4504563.823544674, 589350.3797459378 4504532.041717231, 589325.4778888164 4504527.489961436)",service,0,,57.6271147205,,,False,253908680,parking_aisle,0.768361529606,2597739081
4422,,,42809932,"LINESTRING (591626.7407671 4507189.597914868, 591690.5229707622 4507141.979482188)",residential,0,,79.5321546813,,Woodward Avenue,False,352438092,,1.06042872908,42809936
4423,,,42809936,"LINESTRING (591626.7407671 4507189.597914868, 591690.5229707622 4507141.979482188)",residential,1,,79.5321546813,,Woodward Avenue,False,352438092,,1.06042872908,42809932
4424,,,42809932,"LINESTRING (591626.7407671 4507189.597914868, 591532.2272822894 4507064.417726304)",residential,0,,156.879990033,,Suydam Street,False,5706036,,2.09173320044,42827589
4425,,,42827589,"LINESTRING (591626.7407671 4507189.597914868, 591532.2272822894 4507064.417726304)",residential,1,,156.879990033,,Suydam Street,False,5706036,,2.09173320044,42809932
4426,,,42809936,"LINESTRING (591690.5229707622 4507141.979482188, 591595.4213304375 4507016.56916924)",residential,0,,157.417231861,,Hart Street,False,5702459,,2.09889642481,42827593
4427,,,42827593,"LINESTRING (591690.5229707622 4507141.979482188, 591595.4213304375 4507016.56916924)",residential,1,,157.417231861,,Hart Street,False,5702459,,2.09889642481,42809936
4428,,,42809936,"LINESTRING (591690.5229707622 4507141.979482188, 591753.6343399519 4507094.020209955)",residential,0,,79.2042617308,,Woodward Avenue,False,221726016,,1.05605682308,42809938
4429,,,42809938,"LINESTRING (591690.5229707622 4507141.979482188, 591753.6343399519 4507094.020209955)",residential,1,,79.2042617308,,Woodward Avenue,False,221726016,,1.05605682308,42809936
4430,,,42515026,"LINESTRING (590039.2240375208 4507731.93970515, 590314.8874466517 4507827.773288958, 590341.5991264333 4507750.049118949)",residential,0,,373.593752389,,"[u'Rewe Street', u'Ivy Hill Road']",False,"[5679768, 5679896]",,4.98125003185,42516324
4431,,,42516324,"LINESTRING (590341.5991264333 4507750.049118949, 590314.8874466517 4507827.773288958, 590039.2240375208 4507731.93970515)",residential,1,,373.593752389,,"[u'Rewe Street', u'Ivy Hill Road']",False,"[5679896, 5679768]",,4.98125003185,42515026
4432,,,42809940,"LINESTRING (591817.0802957515 4507046.398666499, 591721.8949808449 4506920.98569072)",residential,0,,157.469667617,,Stockholm Street,False,362204965,,2.09959556823,42827600
4433,,,42827600,"LINESTRING (591817.0802957515 4507046.398666499, 591721.8949808449 4506920.98569072)",residential,1,,157.469667617,,Stockholm Street,False,362204965,,2.09959556823,42809940
4434,,,42809940,"LINESTRING (591817.0802957515 4507046.398666499, 591753.6343399519 4507094.020209955)",residential,0,,79.2657987846,,Woodward Avenue,False,221726016,,1.05687731713,42809938
4435,,,42809938,"LINESTRING (591817.0802957515 4507046.398666499, 591753.6343399519 4507094.020209955)",residential,1,,79.2657987846,,Woodward Avenue,False,221726016,,1.05687731713,42809940
4436,,,42498645,"LINESTRING (588341.1010082064 4504983.493789225, 588417.0093263786 4504995.932578594)",secondary,0,,76.7553995782,,DeKalb Avenue,False,46863673,,1.02340532771,42490736
4437,,,42490736,"LINESTRING (588341.1010082064 4504983.493789225, 588417.0093263786 4504995.932578594)",secondary,1,,76.7553995782,,DeKalb Avenue,False,46863673,,1.02340532771,42498645
4438,,,42498645,"LINESTRING (588341.1010082064 4504983.493789225, 588353.8921498959 4504902.810847038)",residential,0,,81.8170495992,,Spencer Court,False,5681517,,1.09089399466,42531892
4439,,,42531892,"LINESTRING (588341.1010082064 4504983.493789225, 588353.8921498959 4504902.810847038)",residential,1,,81.8170495992,,Spencer Court,False,5681517,,1.09089399466,42498645
4440,,,42482263,"LINESTRING (588912.6918381878 4504660.236687352, 588899.4668800661 4504741.324405721)",residential,0,,82.2858573624,,Marcy Avenue,False,5677037,,1.09714476483,42482258
4441,,,42482258,"LINESTRING (588912.6918381878 4504660.236687352, 588899.4668800661 4504741.324405721)",residential,1,,82.2858573624,,Marcy Avenue,False,5677037,,1.09714476483,42482263
4442,,,42482263,"LINESTRING (588912.6918381878 4504660.236687352, 588926.0216404222 4504578.883797281)",residential,0,,82.5648491491,,Marcy Avenue,False,5677037,,1.10086465532,42482266
4443,,,42482266,"LINESTRING (588912.6918381878 4504660.236687352, 588926.0216404222 4504578.883797281)",residential,1,,82.5648491491,,Marcy Avenue,False,5677037,,1.10086465532,42482263
4444,,,42482266,"LINESTRING (588926.0216404222 4504578.883797281, 589165.3042030267 4504618.002064516)",residential,0,,241.937430721,,Quincy Street,False,34287042,,3.22583240961,42498863
4445,,,42498863,"LINESTRING (588926.0216404222 4504578.883797281, 589165.3042030267 4504618.002064516)",residential,1,,241.937430721,,Quincy Street,False,34287042,,3.22583240961,42482266
4446,,,42859100,"LINESTRING (591294.7533199471 4506883.454380581, 591391.6284833771 4507010.836480697)",residential,0,,160.059899702,,Willoughby Avenue,False,276080908,,2.13413199603,42859103
4447,,,42859103,"LINESTRING (591294.7533199471 4506883.454380581, 591391.6284833771 4507010.836480697)",residential,1,,160.059899702,,Willoughby Avenue,False,276080908,,2.13413199603,42859100
4448,,,42859103,"LINESTRING (591391.6284833771 4507010.836480697, 591469.0326831527 4507112.377818431)",residential,0,,127.699272635,,Willoughby Avenue,False,276080910,,1.70265696847,42827581
4449,,,42827581,"LINESTRING (591391.6284833771 4507010.836480697, 591469.0326831527 4507112.377818431)",residential,1,,127.699272635,,Willoughby Avenue,False,276080910,,1.70265696847,42859103
4450,,,42490472,"LINESTRING (589655.1652335486 4508384.211937833, 589629.088897197 4508459.059463771)",residential,0,,79.3576173959,,Morgan Avenue,False,46768132,,1.05810156528,42490476
4451,,,42490476,"LINESTRING (589655.1652335486 4508384.211937833, 589629.088897197 4508459.059463771)",residential,1,,79.3576173959,,Morgan Avenue,False,46768132,,1.05810156528,42490472
4452,,,42524393,"LINESTRING (589523.0485913057 4507424.498048306, 589475.5137152132 4507542.708064203)",residential,0,,127.551891677,,Judge Street,False,5680731,,1.70069188903,42514879
4453,,,42514879,"LINESTRING (589523.0485913057 4507424.498048306, 589475.5137152132 4507542.708064203)",residential,1,,127.551891677,,Judge Street,False,5680731,,1.70069188903,42524393
4454,,,42474131,"LINESTRING (587886.1350343867 4507243.710292702, 588016.11064535 4507183.078614228)",residential,0,,143.205434257,,South 3rd Street,False,46863444,,1.90940579009,42474135
