,geometry,highway,lat,lon,osmid
527,POINT (589484.8016463141 4508068.29210262),,40.718679,-73.940492,42491511
528,POINT (589470.1614894351 4508042.469161779),,40.718448,-73.940669,42491515
529,POINT (589420.4057067995 4507958.490850986),,40.717697,-73.94127,42491524
530,POINT (589373.6357175617 4507871.995362587),,40.716923,-73.941836,42491527
531,POINT (589354.2764557579 4507789.050012019),,40.716178,-73.942077,42491529
532,POINT (589348.0677639562 4507708.372554148),,40.715452,-73.942162,42491531
533,POINT (588663.336793254 4506036.817426666),,40.70047,-73.950504,42491998
534,POINT (588681.3375510298 4506050.688238982),,40.700593,-73.950289,42492001
535,POINT (588810.196363001 4506163.362497102),,40.701594,-73.948748,42492003
536,POINT (588964.1439322529 4506297.32309055),,40.702784,-73.946907,42492006
537,POINT (589018.9984706932 4506345.054435245),,40.703208,-73.946251,42492008
538,POINT (587945.4367758415 4505910.925768904),,40.699413,-73.959018,42492050
539,POINT (588048.5851422283 4505934.131050911),,40.699611,-73.957794,42492056
540,POINT (588101.428995741 4505945.527262926),,40.699708,-73.957167,42492059
541,POINT (588208.6039238946 4505964.00863959),,40.699863,-73.955896,42492062
542,POINT (588379.8482437804 4505999.796532473),,40.700167,-73.9538643,42492065
543,POINT (588035.6866876396 4505846.159583523),,40.69882,-73.957959,42492107
544,POINT (588115.0884119092 4505364.266820632),,40.694471,-73.957087,42492110
545,POINT (588143.7101661312 4505188.414666019),,40.692884,-73.956773,42492114
546,POINT (588181.6913435329 4504957.495868341),,40.6908,-73.956356,42492119
547,POINT (588208.1896232005 4504795.585332823),,40.6893388,-73.9560652,42492122
548,POINT (587884.697921499 4505146.042223406),,40.69253,-73.959844,42492315
549,POINT (588067.128953615 4505175.848517349),,40.692779,-73.957681,42492316
550,POINT (588223.5810790154 4505201.464792846),,40.692993,-73.955826,42492320
551,POINT (588303.3672418017 4505214.514778616),,40.693102,-73.95488,42492325
552,POINT (588453.6605158101 4505239.174516293),,40.693308,-73.953098,42492328
553,POINT (589045.5689054047 4505348.613229773),,40.69423,-73.946078,42492340
554,POINT (589285.3887378477 4505388.020130863),,40.694559,-73.9432344,42492342
555,POINT (589523.3149756065 4505426.601548801),,40.6948807,-73.9404133,42492346
556,POINT (590138.4706161231 4505535.109693412),,40.695791,-73.933118,42492357
557,POINT (590244.5433524035 4505679.174003795),,40.697077,-73.931842,42492360
558,POINT (590286.6619877536 4505717.767075815),,40.69742,-73.931338,42492364
559,POINT (590293.9475570972 4505723.18480158),,40.697468,-73.931251,42492371
560,POINT (590401.6252514086 4505811.315459542),,40.69825,-73.929964,42492375
561,POINT (590976.0818302215 4506455.142044524),,40.7039858,-73.9230722,42492385
562,POINT (591114.2071723682 4506643.822425397),,40.70567,-73.92141,42492387
563,POINT (591205.243904745 4506764.180100086),,40.706744,-73.920315,42492389
564,POINT (590725.9065877064 4506110.593875418),,40.70091,-73.926083,42492396
565,POINT (590846.144875315 4506276.157138455),,40.702388,-73.924636,42492398
566,POINT (587898.4404907407 4508265.594826963),,40.720627,-73.959244,42492539
567,POINT (588019.8768276043 4508168.558061286),,40.71974,-73.95782,42492540
568,POINT (588129.4603374829 4508081.152348348),,40.718941,-73.956535,42492544
569,POINT (588238.9646133672 4507993.525206423),,40.71814,-73.955251,42492546
570,POINT (588346.3361329022 4507907.872624618),,40.717357,-73.953992,42492547
571,POINT (590891.4216664357 4504986.621437978),,40.690768,-73.924287,42493898
572,POINT (590905.8684455177 4504902.753805457),,40.690011,-73.9241282,42493901
573,POINT (590919.47579081 4504821.207409159),,40.689275,-73.923979,42493905
574,POINT (590932.6894038806 4504740.089208076),,40.6885429,-73.9238344,42493907
575,POINT (589664.2234229232 4507383.225957284),,40.712489,-73.938466,42494193
576,POINT (589635.0295759009 4507462.021492103),,40.7132019,-73.9388003,42494194
577,POINT (589633.7284538688 4507536.846402722),,40.713876,-73.938805,42494201
578,POINT (589640.994279312 4507697.584569572),,40.715323,-73.938696,42494204
579,POINT (587856.082204774 4505321.89526959),,40.694117,-73.960158,42494539
580,POINT (587922.5840479841 4504915.343253169),,40.690448,-73.959428,42494544
581,POINT (589774.2326710032 4505796.595284411),,40.698186,-73.937391,42494830
582,POINT (589871.8601195545 4505933.557653406),,40.699409,-73.936216,42494831
583,POINT (591174.090767704 4504779.709373006),,40.6888731,-73.9209722,42495208
584,POINT (589499.6789877272 4507969.439021262),,40.717787,-73.94033,42495847
585,POINT (589489.6075104354 4508041.038407252),,40.718433,-73.940439,42495851
586,POINT (589475.9032792812 4508126.693916864),,40.719206,-73.940589,42495860
587,POINT (589472.6405405147 4508152.078844214),,40.719435,-73.940624,42495865
588,POINT (589456.7451886045 4508265.352712719),,40.720457,-73.940796,42495871
589,POINT (589450.1729746466 4508313.013379595),,40.720887,-73.940867,42495878
590,POINT (589438.7417502616 4508392.36806589),,40.721603,-73.940991,42495884
591,POINT (590360.6412770802 4505374.162924434),,40.694317,-73.930512,42495992
592,POINT (590466.7425972186 4505522.671697951),,40.695643,-73.929235,42495994
593,POINT (589137.098794673 4506705.408251537),,40.706441,-73.944802,42496352
594,POINT (589424.1456680873 4506744.056165131),,40.706758,-73.941399,42496356
595,POINT (589566.1877739118 4506763.532970379),,40.706918,-73.939715,42496361
596,POINT (589651.3775845275 4506775.330963039),,40.707015,-73.938705,42496367
597,POINT (589888.2231046739 4506807.950478522),,40.707283,-73.935897,42496372
598,POINT (590055.0392437178 4506832.621881524),,40.707487,-73.933919,42496377
599,POINT (590210.6600459556 4506867.708149199),,40.707786,-73.932072,42496384
600,POINT (590467.3035895318 4506925.345219827),,40.708277,-73.929026,42496387
601,POINT (590603.7069477326 4506956.430762441),,40.708542,-73.927407,42496391
602,POINT (590742.0561778845 4506987.209572771),,40.708804,-73.925765,42496394
603,POINT (590874.9994492644 4507017.813759316),,40.709065,-73.924187,42496398
604,POINT (588614.7961271334 4506631.750779662),,40.7058339,-73.9509944,42496423
605,POINT (588674.2795807032 4506641.354256383),,40.705914,-73.950289,42496426
606,POINT (590469.4683831692 4506297.313164321),,40.70262,-73.929091,42496644
607,POINT (590533.5773964198 4506250.577022983),,40.702192,-73.928339,42496649
